Reconciled_Neighbourhood,neighbourhood_id,total_population,median_income,average_income,median_after_tax_income,average_after_tax_income,market_income_percent,employment_income_percent,government_support_percent,low_income_percent,percent_without_income,median_to_average_ratio,is_improvement_area,tsns_designation
Bridle Path-Sunnybrook-York Mills,41.0,8940,72000.0,237600.0,60000.0,141200.0,97.2,56.0,0.8,9.1,5.311475409836065,0.303030303030303,0.0,Not an NIA or Emerging Neighbourhood
Broadview North,57.0,10955,38800.0,54050.0,35600.0,44520.0,80.8,70.8,7.3,14.6,3.422854133754608,0.7178538390379279,0.0,Not an NIA or Emerging Neighbourhood
Brookhaven-Amesbury,30.0,17495,34400.0,42240.0,32400.0,36920.0,71.2,63.7,10.9,13.8,6.202356202356203,0.8143939393939394,0.0,Not an NIA or Emerging Neighbourhood
Cabbagetown-South St. James Town,71.0,11020,46800.0,75200.0,41600.0,58350.0,88.4,73.0,4.2,15.0,2.2233201581027666,0.6223404255319149,0.0,Not an NIA or Emerging Neighbourhood
Caledonia-Fairbank,109.0,10015,37200.0,46520.0,34400.0,39800.0,78.8,71.8,7.5,10.6,4.778554778554779,0.7996560619088564,0.0,Not an NIA or Emerging Neighbourhood
Casa Loma,96.0,11350,60000.0,158600.0,51600.0,107500.0,95.0,64.8,1.6,10.7,2.701375245579568,0.3783102143757881,0.0,Not an NIA or Emerging Neighbourhood
Centennial Scarborough,133.0,13380,48800.0,63700.0,43200.0,51550.0,85.8,69.8,4.5,4.4,4.4039145907473305,0.7660910518053375,0.0,Not an NIA or Emerging Neighbourhood
Church-Yonge Corridor,167.44227886056973,40020,43861.46926536732,61122.788605697155,39684.557721139434,49252.503748125935,88.39610194902549,77.6,5.513493253373313,22.901949025487255,4.1773311900702375,0.720711061142045,0.0,Not an NIA or Emerging Neighbourhood
Clairlea-Birchmount,120.0,26840,36800.0,46600.0,34000.0,40120.0,77.2,68.0,9.0,11.5,5.550581915846016,0.7896995708154505,0.0,Not an NIA or Emerging Neighbourhood
Clanton Park,33.0,17620,42000.0,62750.0,38000.0,50080.0,85.6,70.8,6.1,10.6,3.9242219215155614,0.6693227091633466,0.0,Not an NIA or Emerging Neighbourhood
Cliffcrest,123.0,16130,38000.0,53600.0,35200.0,44440.0,80.2,65.6,7.1,11.1,5.137614678899083,0.7089552238805971,0.0,Not an NIA or Emerging Neighbourhood
Corso Italia-Davenport,92.0,13200,41200.0,56100.0,37200.0,46080.0,83.4,72.8,6.1,8.8,3.920704845814978,0.7344028520499108,0.0,Not an NIA or Emerging Neighbourhood
Danforth,66.0,9305,46400.0,71600.0,40800.0,56300.0,88.0,76.2,3.9,10.3,3.2818532818532815,0.6480446927374302,0.0,Not an NIA or Emerging Neighbourhood
Danforth East York,59.0,17065,46400.0,67200.0,41200.0,53950.0,86.8,77.4,4.4,9.3,3.6084315827081106,0.6904761904761905,0.0,Not an NIA or Emerging Neighbourhood
Don Valley Village,47.0,26775,34800.0,46280.0,32400.0,39760.0,78.6,64.2,8.5,13.5,4.467204183918065,0.7519446845289542,0.0,Not an NIA or Emerging Neighbourhood
Dorset Park,126.0,24305,33200.0,40080.0,31000.0,35440.0,72.4,64.4,10.7,13.0,4.968339016074038,0.8283433133732535,0.0,Emerging Neighbourhood
Dovercourt-Wallace Emerson-Junction,171.34814398200226,35560,40085.9392575928,54872.215973003375,36364.4544431946,45730.66366704162,83.06962879640045,75.7644544431946,6.904443194600675,10.782227221597301,3.5321485821938103,0.7310142904999773,0.0,Not an NIA or Emerging Neighbourhood
Downsview-Roding-CFB,154.45620715917747,39390,35424.828636709826,43386.29093678598,32951.104341203354,37566.58035034272,73.91972581873571,66.28103579588728,9.95948210205636,12.21020563594821,4.780968559661845,0.816488309069018,1.0,Neighbourhood Improvement Area (formerly Downsview-Roding-CFB)
Dufferin Grove,83.0,11215,40800.0,54900.0,36800.0,45320.0,83.2,73.2,7.2,11.7,3.45,0.7431693989071038,0.0,Not an NIA or Emerging Neighbourhood
East End-Danforth,62.0,21840,46000.0,66800.0,41200.0,53050.0,86.6,76.6,5.1,11.9,4.392265193370166,0.688622754491018,0.0,Not an NIA or Emerging Neighbourhood
Edenbridge-Humber Valley,9.0,15190,48400.0,98200.0,42400.0,68700.0,90.6,63.4,3.0,8.2,3.582317073170731,0.4928716904276985,0.0,Not an NIA or Emerging Neighbourhood
Eglinton East,138.0,22535,33200.0,39880.0,31400.0,35520.0,70.0,60.8,11.4,13.9,6.6115702479338845,0.8324974924774322,1.0,Neighbourhood Improvement Area
Elms-Old Rexdale,5.0,9355,34400.0,41240.0,32400.0,36440.0,70.6,62.0,11.1,12.4,5.422853453841188,0.8341416100872939,1.0,Neighbourhood Improvement Area
Englemount-Lawrence,32.0,21285,37200.0,63450.0,34400.0,50960.0,83.0,62.3,6.0,13.4,5.153121319199058,0.5862884160756501,0.0,Emerging Neighbourhood
Eringate-Centennial-West Deane,11.0,18450,44400.0,57000.0,40000.0,47240.0,83.2,67.4,5.2,5.6,3.225806451612903,0.7789473684210526,0.0,Not an NIA or Emerging Neighbourhood
Etobicoke West Mall,13.0,11865,39200.0,48240.0,35600.0,41360.0,78.6,68.2,8.2,11.0,4.858701041150223,0.8126036484245439,0.0,Not an NIA or Emerging Neighbourhood
Flemingdon Park,44.0,22530,30400.0,38040.0,28800.0,33720.0,68.0,59.8,12.1,19.9,6.559608056614044,0.7991587802313355,1.0,Neighbourhood Improvement Area
Forest Hill North,102.0,12290,44400.0,89700.0,40000.0,66600.0,90.0,68.4,3.8,10.8,4.278846153846154,0.4949832775919732,0.0,Not an NIA or Emerging Neighbourhood
Forest Hill South,101.0,10860,61600.0,157600.0,52000.0,102000.0,95.0,58.5,1.6,9.8,3.577064702788006,0.39086294416243644,0.0,Not an NIA or Emerging Neighbourhood
Glenfield-Jane Heights,25.0,30020,30400.0,35840.0,29000.0,32480.0,62.9,56.8,13.1,14.9,6.362185879537295,0.8482142857142857,1.0,Neighbourhood Improvement Area
Greenwood-Coxwell,65.0,14120,44800.0,64200.0,40000.0,51450.0,86.4,79.2,5.0,12.0,3.3707865168539324,0.6978193146417445,0.0,Not an NIA or Emerging Neighbourhood
Guildwood,140.0,9680,48000.0,59750.0,42800.0,49400.0,83.0,62.4,5.0,5.8,4.07185628742515,0.803347280334728,0.0,Not an NIA or Emerging Neighbourhood
Henry Farm,53.0,19840,38400.0,49360.0,35600.0,41680.0,83.8,75.2,7.9,17.2,7.422680412371133,0.7779578606158833,0.0,Not an NIA or Emerging Neighbourhood
High Park North,88.0,21855,48400.0,71000.0,42800.0,55450.0,88.8,76.2,4.4,11.9,3.040629095674967,0.6816901408450704,0.0,Not an NIA or Emerging Neighbourhood
High Park-Swansea,87.0,22665,56400.0,90300.0,49200.0,67500.0,91.4,75.6,3.1,8.5,3.578838174273858,0.6245847176079734,0.0,Not an NIA or Emerging Neighbourhood
Highland Creek,134.0,12625,36400.0,48080.0,33200.0,40880.0,77.8,61.9,8.2,6.4,4.441453566621804,0.7570715474209649,0.0,Not an NIA or Emerging Neighbourhood
Hillcrest Village,48.0,16345,34400.0,49280.0,31800.0,41000.0,79.6,56.7,6.6,15.6,4.723862452240361,0.698051948051948,0.0,Not an NIA or Emerging Neighbourhood
Humber Heights-Westmount,8.0,10005,40400.0,60900.0,36400.0,50160.0,82.4,66.2,5.5,10.2,3.7659327925840103,0.6633825944170771,0.0,Emerging Neighbourhood
Humber Summit,21.0,12185,31200.0,38400.0,29800.0,34080.0,68.2,59.1,11.0,12.2,6.1352657004830915,0.8125,1.0,Neighbourhood Improvement Area
Humbermede,22.0,16955,32400.0,38280.0,30600.0,34240.0,69.0,62.6,12.0,13.3,5.9224694903086865,0.8463949843260188,1.0,Neighbourhood Improvement Area
Humewood-Cedarvale,106.0,13845,45200.0,81100.0,40400.0,59750.0,89.4,73.8,4.1,11.2,2.603499786598378,0.5573366214549939,0.0,Not an NIA or Emerging Neighbourhood
Ionview,125.0,13365,34000.0,40200.0,31600.0,35600.0,71.8,64.0,10.6,13.8,5.605381165919284,0.8457711442786069,1.0,Neighbourhood Improvement Area
Islington-City Centre West,158.50148746281343,47060,45800.594985125375,64554.696132596684,40801.18997025074,51458.60603484913,86.49910752231195,72.71636209094773,5.051636209094773,11.057586060348491,3.688796137747445,0.7178309719746184,0.0,Not an NIA or Emerging Neighbourhood
Junction Area,90.0,14010,47200.0,62550.0,42000.0,50680.0,86.8,77.2,5.7,8.8,3.760969494358546,0.7545963229416467,0.0,Not an NIA or Emerging Neighbourhood
Keelesdale-Eglinton West,110.0,11390,33200.0,43720.0,31000.0,37760.0,75.2,67.8,8.6,12.5,5.273937532002048,0.7593778591033852,1.0,Neighbourhood Improvement Area
Kennedy Park,124.0,17110,32000.0,39880.0,30200.0,35200.0,70.4,61.4,11.0,17.0,5.40447504302926,0.802407221664995,1.0,Neighbourhood Improvement Area
Kensington-Chinatown,78.0,18120,32400.0,53750.0,30200.0,42920.0,82.6,71.6,7.8,23.0,3.7640782454060466,0.6027906976744186,0.0,Not an NIA or Emerging Neighbourhood
Kingsview Village-The Westway,6.0,22005,34400.0,44880.0,32400.0,38640.0,72.8,59.0,9.6,14.7,4.7250621718706824,0.7664884135472371,1.0,Neighbourhood Improvement Area
Kingsway South,15.0,8855,74500.0,153000.0,61600.0,102400.0,95.6,70.0,1.1,4.3,3.436657681940701,0.4869281045751634,0.0,Not an NIA or Emerging Neighbourhood
L'Amoreaux,147.4994191449814,43040,31200.232342007435,41061.88197026022,29500.116171003716,35801.39405204461,72.30127788104089,59.450987453531596,10.248431691449815,14.651335966542751,4.7736611223283525,0.7608266091320582,0.0,Emerging Neighbourhood
Lambton Baby Point,114.0,7965,48800.0,85100.0,43600.0,63350.0,89.4,74.8,3.7,12.0,5.841121495327103,0.5734430082256169,0.0,Not an NIA or Emerging Neighbourhood
Lansing-Westgate,38.0,15910,45200.0,77300.0,40000.0,58350.0,89.8,69.6,4.3,11.8,4.856512141280353,0.5847347994825356,0.0,Not an NIA or Emerging Neighbourhood
Lawrence Park North,105.0,14675,68000.0,130200.0,57600.0,89700.0,95.2,74.8,1.5,5.6,3.8428693424423574,0.522273425499232,0.0,Not an NIA or Emerging Neighbourhood
Lawrence Park South,103.0,14960,67500.0,177400.0,56800.0,111900.0,96.4,73.4,1.2,7.2,4.638144742103159,0.3804960541149944,0.0,Not an NIA or Emerging Neighbourhood
Leaside-Bennington,56.0,16535,64000.0,141600.0,54400.0,95000.0,95.2,77.0,1.6,5.8,5.135730007336757,0.4519774011299435,0.0,Not an NIA or Emerging Neighbourhood
Little Portugal,84.0,15485,46000.0,64100.0,40800.0,51400.0,87.4,78.2,5.8,10.8,2.432045779685265,0.717628705148206,0.0,Not an NIA or Emerging Neighbourhood
Long Branch,19.0,11360,46000.0,61500.0,41200.0,48680.0,85.2,75.2,5.6,11.2,3.889457523029683,0.7479674796747967,0.0,Not an NIA or Emerging Neighbourhood
Malvern,145.60105954163308,43415,32561.695266612922,38674.881953241966,30641.483358286307,34426.16146493147,70.72127144995969,63.519682137510074,11.638304733387079,10.902119083266152,5.3205304880176145,0.8422395353172603,0.0,Emerging Neighbourhood
Maple Leaf,29.0,9845,37200.0,47560.0,34000.0,40600.0,76.2,62.2,8.4,9.0,4.531902206320812,0.7821698906644239,0.0,Not an NIA or Emerging Neighbourhood
Markland Wood,12.0,10365,46800.0,71900.0,42800.0,55800.0,86.6,67.0,3.8,6.0,3.5891772501380457,0.650904033379694,0.0,Not an NIA or Emerging Neighbourhood
Milliken,130.0,23980,28400.0,36800.0,27200.0,32800.0,68.6,55.3,12.6,14.6,5.659922928709056,0.7717391304347826,0.0,Not an NIA or Emerging Neighbourhood
Mimico (includes Humber Bay Shores),160.57011349306433,39650,49760.9079445145,68235.73139974779,43820.68095838588,54162.74905422446,87.25240857503152,72.72322824716268,5.057931904161412,13.027124842370744,3.149712156846921,0.729198493336058,0.0,Not an NIA or Emerging Neighbourhood
Morningside,135.0,17660,34400.0,41640.0,32000.0,36720.0,72.2,61.8,10.4,12.4,6.040040719375636,0.8261287223823247,1.0,Neighbourhood Improvement Area
Moss Park,73.0,21490,42800.0,66800.0,38800.0,52300.0,87.2,78.8,5.7,23.3,3.288978157167964,0.6407185628742516,0.0,Not an NIA or Emerging Neighbourhood
Mount Dennis,115.0,13055,34800.0,39760.0,32400.0,35400.0,70.0,62.7,11.4,14.9,4.720439963336388,0.8752515090543259,1.0,Neighbourhood Improvement Area
Mount Olive-Silverstone-Jamestown,2.0,31345,29600.0,35000.0,28400.0,31760.0,64.8,58.9,13.6,15.6,6.489962970181251,0.8457142857142858,1.0,Neighbourhood Improvement Area
Mount Pleasant East,99.0,16370,58400.0,101000.0,50400.0,72800.0,92.6,78.4,2.6,8.3,3.7895511405445177,0.5782178217821782,0.0,Not an NIA or Emerging Neighbourhood
Mount Pleasant West,173.5886846193682,38620,49767.5815639565,64516.66235111341,44025.68617296738,52026.45002589332,88.56605385810461,76.24678922837907,4.981499223200414,16.61620921802175,4.253305539016158,0.7727132182680175,0.0,Not an NIA or Emerging Neighbourhood
New Toronto,18.0,11345,37600.0,52450.0,34800.0,43520.0,80.4,72.2,6.9,15.8,3.8164002062919034,0.7168732125834127,0.0,Not an NIA or Emerging Neighbourhood
Newtonbrook East,50.0,15345,34000.0,52150.0,31800.0,42920.0,82.4,64.4,7.3,17.7,6.063907044299201,0.6519654841802492,0.0,Not an NIA or Emerging Neighbourhood
Newtonbrook West,36.0,23805,32800.0,43440.0,30600.0,37200.0,76.8,63.9,10.2,15.3,5.897617362585515,0.7550644567219152,0.0,Not an NIA or Emerging Neighbourhood
Niagara,162.60193441136468,33085,64898.065588635334,81354.4657699864,55277.6787063624,63284.52470908267,93.07961311772706,87.20386882272933,3.6417409702282,10.5388393531812,2.277089317536668,0.8021551399380237,0.0,Not an NIA or Emerging Neighbourhood
North Riverdale,68.0,11290,54400.0,92800.0,46800.0,68400.0,91.6,76.6,3.0,8.3,3.682272488164124,0.5862068965517241,0.0,Not an NIA or Emerging Neighbourhood
North St. James Town,74.0,18535,33600.0,45280.0,31600.0,38840.0,77.6,70.8,9.6,21.9,4.735716468072105,0.7420494699646644,0.0,Not an NIA or Emerging Neighbourhood
O'Connor-Parkview,54.0,18405,37600.0,53550.0,34800.0,44640.0,79.0,66.2,7.4,13.6,5.161290322580645,0.7021475256769374,0.0,Not an NIA or Emerging Neighbourhood
Oakridge,121.0,13705,29400.0,36560.0,28200.0,32880.0,64.0,56.9,14.4,22.5,5.70273911091154,0.8041575492341356,1.0,Neighbourhood Improvement Area
Oakwood Village,107.0,20710,37600.0,52350.0,34400.0,43760.0,80.4,72.2,6.9,12.0,4.1111426141196485,0.7182425978987583,0.0,Not an NIA or Emerging Neighbourhood
Old East York,58.0,9160,44400.0,63800.0,40000.0,51750.0,85.0,72.4,5.4,8.3,4.389928986442866,0.6959247648902821,0.0,Not an NIA or Emerging Neighbourhood
Palmerston-Little Italy,80.0,13120,43200.0,70000.0,38800.0,55150.0,88.2,75.0,5.3,10.9,2.473794549266247,0.6171428571428571,0.0,Not an NIA or Emerging Neighbourhood
Parkwoods-Donalda,149.59492385786803,34475,37296.243654822334,51485.238578680204,34410.15228426396,42823.390862944165,79.47350253807106,66.5620304568528,7.865786802030457,12.187309644670052,4.969488559904635,0.7324237188827559,0.0,Not an NIA or Emerging Neighbourhood
Pelmo Park-Humberlea,23.0,11290,39600.0,49000.0,35200.0,41720.0,79.8,71.0,7.3,7.7,4.9504950495049505,0.8081632653061225,0.0,Not an NIA or Emerging Neighbourhood
Playter Estates-Danforth,67.0,7680,49200.0,83900.0,42400.0,62450.0,89.8,74.4,3.7,10.7,2.731411229135053,0.5864123957091775,0.0,Not an NIA or Emerging Neighbourhood
Pleasant View,46.0,15220,34400.0,45400.0,32000.0,38960.0,77.2,62.7,8.8,10.1,4.958985831469053,0.7577092511013216,0.0,Not an NIA or Emerging Neighbourhood
Princess-Rosethorn,10.0,11170,58800.0,101900.0,50400.0,70900.0,92.0,65.4,2.7,5.6,4.246284501061571,0.577036310107949,0.0,Not an NIA or Emerging Neighbourhood
Regent Park,72.0,12750,33200.0,48640.0,31400.0,41080.0,77.2,70.0,9.5,22.9,4.813805631244324,0.6825657894736842,1.0,Neighbourhood Improvement Area
Rexdale-Kipling,4.0,10375,33600.0,42040.0,31800.0,36880.0,73.4,64.2,9.3,13.5,4.034090909090909,0.7992388201712655,0.0,Not an NIA or Emerging Neighbourhood
Rockcliffe-Smythe,111.0,22235,34400.0,43840.0,32000.0,37960.0,73.6,64.2,8.7,15.8,4.863864657679091,0.7846715328467153,1.0,Neighbourhood Improvement Area
Roncesvalles,86.0,14610,45600.0,70000.0,40800.0,55350.0,87.6,77.0,5.2,12.5,3.7645174209050865,0.6514285714285715,0.0,Not an NIA or Emerging Neighbourhood
Rosedale-Moore Park,98.0,20080,67500.0,193400.0,56800.0,120700.0,96.0,66.6,1.1,8.8,3.5350678733031673,0.3490175801447777,0.0,Not an NIA or Emerging Neighbourhood
Rouge,143.54680991010744,45610,38062.96864722649,47732.854637140976,34756.588467441354,40773.09361982022,77.97233062924798,68.29063801797851,8.71532558649419,5.926595044946284,4.949528390460656,0.80135988402867,0.0,Not an NIA or Emerging Neighbourhood
Runnymede-Bloor West Village,89.0,10120,60400.0,88400.0,52000.0,67200.0,92.2,79.2,2.8,5.1,4.251386321626617,0.6832579185520362,0.0,Not an NIA or Emerging Neighbourhood
Rustic,28.0,9390,31400.0,40120.0,29800.0,35480.0,66.4,56.1,11.9,19.1,5.602060528010303,0.7826520438683948,1.0,Neighbourhood Improvement Area
Scarborough Village,139.0,16520,32400.0,41920.0,30800.0,35920.0,70.4,58.8,11.1,17.1,6.002982848620433,0.7729007633587787,1.0,Neighbourhood Improvement Area
South Parkdale,85.0,20495,35200.0,48000.0,32800.0,40440.0,78.6,72.6,9.2,20.2,3.4714747039827767,0.7333333333333333,1.0,Neighbourhood Improvement Area
South Riverdale,70.0,27815,48800.0,74100.0,42800.0,57800.0,89.2,80.4,4.4,11.7,2.8266331658291457,0.6585695006747638,0.0,Not an NIA or Emerging Neighbourhood
St.Andrew-Windfields,40.0,16960,46400.0,102300.0,41200.0,73100.0,91.8,56.1,3.1,13.0,5.884377150722643,0.4535679374389051,0.0,Not an NIA or Emerging Neighbourhood
Steeles,116.0,22765,29200.0,39520.0,27800.0,34760.0,71.6,53.8,10.3,14.8,4.898775306173456,0.7388663967611335,0.0,Emerging Neighbourhood
Stonegate-Queensway,16.0,25650,48400.0,78900.0,43200.0,59250.0,89.0,73.0,3.7,8.5,3.8273045507584595,0.6134347275031685,0.0,Not an NIA or Emerging Neighbourhood
Tam O'Shanter-Sullivan,118.0,27205,32800.0,43280.0,31000.0,37360.0,74.6,60.2,9.0,14.4,5.502443169747185,0.7578558225508318,0.0,Not an NIA or Emerging Neighbourhood
Taylor-Massey,61.0,15025,32400.0,40720.0,30800.0,35960.0,72.4,64.4,11.3,17.8,5.427298501417578,0.7956777996070727,1.0,Neighbourhood Improvement Area
The Beaches,63.0,21510,61200.0,108800.0,52000.0,76400.0,93.0,78.4,2.4,7.9,4.173669467787114,0.5625,0.0,Not an NIA or Emerging Neighbourhood
Thistletown-Beaumond Heights,3.0,9850,32800.0,41520.0,30600.0,36360.0,72.6,63.5,9.9,11.8,5.269461077844311,0.789980732177264,1.0,Neighbourhood Improvement Area
Thorncliffe Park,55.0,20400,29400.0,37680.0,28200.0,33640.0,65.2,56.9,13.8,24.2,6.807131280388978,0.7802547770700637,1.0,Neighbourhood Improvement Area
Trinity-Bellwoods,81.0,15415,40400.0,67800.0,37200.0,52900.0,86.8,75.2,5.5,11.0,2.8612821441506697,0.5958702064896755,0.0,Not an NIA or Emerging Neighbourhood
University,79.0,6435,43200.0,74100.0,39200.0,53700.0,88.8,70.2,4.9,14.6,3.8785834738617195,0.582995951417004,0.0,Not an NIA or Emerging Neighbourhood
Victoria Village,43.0,17365,34000.0,44280.0,32000.0,38240.0,74.2,62.4,8.6,17.6,4.8772169167803545,0.7678410117434508,1.0,Neighbourhood Improvement Area
Waterfront Communities-The Island,165.06724320508295,84990,60972.56147782092,80553.81809624661,52337.569125779504,62102.420873043884,92.80671843746323,84.04258148017414,3.681297799741146,14.610948346864337,3.6646166157128595,0.7586304705148298,0.0,Not an NIA or Emerging Neighbourhood
West Hill,136.0,28140,33200.0,40920.0,31000.0,36000.0,70.8,61.7,10.6,15.2,5.2175749894381065,0.8113391984359726,1.0,Neighbourhood Improvement Area
West Humber-Clairville,1.0,33300,33600.0,40560.0,31600.0,35800.0,74.2,65.8,10.5,8.7,4.982758620689655,0.8284023668639053,0.0,Not an NIA or Emerging Neighbourhood
Westminster-Branson,35.0,25705,33600.0,43360.0,31200.0,37600.0,74.6,61.6,10.2,13.7,3.8306451612903225,0.7749077490774908,0.0,Emerging Neighbourhood
Weston,113.0,18675,34800.0,43160.0,32400.0,37600.0,72.4,64.8,10.1,18.6,5.048231511254019,0.8063021316033364,1.0,Neighbourhood Improvement Area
Weston-Pelham Park,91.0,10680,35600.0,45760.0,32800.0,39400.0,76.6,70.6,8.6,13.1,4.772353263850795,0.7779720279720281,1.0,Neighbourhood Improvement Area
Wexford/Maryvale,119.0,28345,35200.0,44040.0,32800.0,38280.0,75.2,64.0,9.5,11.6,4.821022139457893,0.7992733878292462,0.0,Not an NIA or Emerging Neighbourhood
Willowdale East,151.4344227801936,35645,36573.76911207743,55815.94894094543,33600.0,45364.89830270725,86.12130733623229,68.3246177584514,5.795904053864497,20.067232430915976,6.155738429609371,0.66008355396461,0.0,Not an NIA or Emerging Neighbourhood
Willowdale West,88.68465266558967,30950,41520.904684975765,59395.1211631664,37829.78998384491,47982.63004846527,87.0713408723748,73.03379644588045,5.521777059773829,18.932665589660743,5.644664188918512,0.6971621570024785,0.0,Not an NIA or Emerging Neighbourhood
Willowridge-Martingrove-Richview,7.0,22445,40800.0,53750.0,37200.0,45160.0,79.6,63.3,6.1,9.5,4.249142253892848,0.7590697674418605,0.0,Not an NIA or Emerging Neighbourhood
Woburn,141.4952948849343,53665,31794.35386192118,39313.601043510665,30093.41283890804,34875.483089536945,71.48023851672413,62.12506289015187,10.955175626572254,15.752352557532843,6.233770850458026,0.8087147261044911,1.0,Neighbourhood Improvement Area (formerly Woburn)
Woodbine Corridor,64.0,12205,50000.0,72100.0,44800.0,56500.0,88.4,79.6,4.0,11.1,3.793626707132018,0.6934812760055479,0.0,Not an NIA or Emerging Neighbourhood
Woodbine-Lumsden,60.0,7915,46400.0,61550.0,41200.0,50520.0,85.4,77.6,5.2,10.0,3.471698113207547,0.7538586515028434,0.0,Not an NIA or Emerging Neighbourhood
Wychwood,94.0,12800,43600.0,70900.0,39200.0,55400.0,87.0,74.2,4.7,11.2,4.170444242973708,0.614950634696756,0.0,Not an NIA or Emerging Neighbourhood
Yonge-Eglinton,100.0,12410,55200.0,97900.0,48000.0,70100.0,92.4,74.2,3.0,10.5,4.258306036499766,0.5638406537282942,0.0,Not an NIA or Emerging Neighbourhood
Yonge-St.Clair,97.0,12905,62400.0,131400.0,52800.0,92100.0,94.0,68.6,1.8,9.8,3.1061259706643654,0.4748858447488584,0.0,Not an NIA or Emerging Neighbourhood
York University Heights,27.0,28255,32400.0,39200.0,30600.0,34680.0,72.2,64.8,12.1,13.8,5.369952859192457,0.826530612244898,1.0,Neighbourhood Improvement Area
Yorkdale-Glen Park,31.0,16625,36400.0,46960.0,33600.0,40080.0,78.2,67.8,8.1,12.2,4.359766563680055,0.7751277683134583,0.0,Emerging Neighbourhood
